User,Password,Level,Weapon_ID,Shield_ID,Life,full_life,aids,helping_characters,strength,speed,dim_x,dim_y
Adir,Danielle,4,1596,434,100.0,100.0,SHIELDS^Shield74^434;Energy-Kit^Energy-Kit^40.93;WEAPONS^Hand^398;Energy-Kit^Energy-Kit^44.36;Health-Kit^Health-Kit^44.09,54.0^54.0^1593^1601;31^31^1593^434;36^36^1565^1569,53.2,121.76,13,14
Adir77,Danielle,3,1581,434,69.08440606610455,100.0,,,5.0,42.62000000000001,10,11
Susanne,10adir10,2,1565,398,100.0,100.0,,,5.0,0.35,10,10
Danielle,Danielle,1,398,398,100.0,100.0,,,5.0,0.35,10,10
DD,Danielle,1,398,398,100.0,100.0,,,5.0,0.35,10,10
gg,Danielle,1,398,398,100.0,100.0,,,5.0,0.35,10,10
rr,Danielle,1,398,398,100.0,100.0,,,5.0,0.35,10,10
g,Danielle,1,398,398,100.0,100.0,,,5.0,0.35,10,10
f,Danielle,1,398,398,100.0,100.0,,,5.0,0.35,10,10
ee,Danielle,1,398,398,100.0,100.0,,,5.0,0.35,10,10
hh,Danielle,1,398,398,100.0,100.0,,,5.0,0.35,10,10
jj,Danielle,2,398,398,100.0,100.0,Strength-Boost^Strength-Boost^36.16,,5.0,0.35,10,10
